link,type,file,year,month,total_principal_funds
sf.citidirect.com/stfin/docs/413937/CertStmtCMLT06AMC12007.pdf,chs,CertStmtCMLT06AMC12007.pdf,20,07,431389.3
sf.citidirect.com/stfin/docs/419930/CertStmtCMLT06AMC12008.pdf,chs,CertStmtCMLT06AMC12008.pdf,20,08,334312.66
sf.citidirect.com/stfin/docs/425633/CertStmtCMLT06AMC12009.pdf,chs,CertStmtCMLT06AMC12009.pdf,20,09,127787.52
sf.citidirect.com/stfin/docs/432065/CertStmtCMLT06AMC12010.pdf,chs,CertStmtCMLT06AMC12010.pdf,20,10,743206.95
sf.citidirect.com/stfin/docs/437481/CertStmtCMLT06AMC12011.pdf,chs,CertStmtCMLT06AMC12011.pdf,20,11,741690.1
sf.citidirect.com/stfin/docs/442861/CertStmtCMLT06AMC12012.pdf,chs,CertStmtCMLT06AMC12012.pdf,20,12,755457.67
sf.citidirect.com/stfin/docs/296437/CertStmtCMLT06AMC11901.pdf,chs,CertStmtCMLT06AMC11901.pdf,19,01,797066.17
sf.citidirect.com/stfin/docs/300726/CertStmtCMLT06AMC11902.pdf,chs,CertStmtCMLT06AMC11902.pdf,19,02,869028.31
sf.citidirect.com/stfin/docs/313140/CertStmtCMLT06AMC11903.pdf,chs,CertStmtCMLT06AMC11903.pdf,19,03,533143.83
sf.citidirect.com/stfin/docs/320814/CertStmtCMLT06AMC11904.pdf,chs,CertStmtCMLT06AMC11904.pdf,19,04,967692.19
sf.citidirect.com/stfin/docs/335261/CertStmtCMLT06AMC11905.pdf,chs,CertStmtCMLT06AMC11905.pdf,19,05,964101.84
sf.citidirect.com/stfin/docs/339323/CertStmtCMLT06AMC11906.pdf,chs,CertStmtCMLT06AMC11906.pdf,19,06,1620644.71
sf.citidirect.com/stfin/docs/343165/CertStmtCMLT06AMC11907.pdf,chs,CertStmtCMLT06AMC11907.pdf,19,07,1570313.19
sf.citidirect.com/stfin/docs/348129/CertStmtCMLT06AMC11908.pdf,chs,CertStmtCMLT06AMC11908.pdf,19,08,2119797.07
sf.citidirect.com/stfin/docs/353771/CertStmtCMLT06AMC11909.pdf,chs,CertStmtCMLT06AMC11909.pdf,19,09,2086260.37
sf.citidirect.com/stfin/docs/358181/CertStmtCMLT06AMC11910.pdf,chs,CertStmtCMLT06AMC11910.pdf,19,10,975126.69
sf.citidirect.com/stfin/docs/363693/CertStmtCMLT06AMC11911.pdf,chs,CertStmtCMLT06AMC11911.pdf,19,11,1165039.32
